p0,p1,p2,p3,p4,p5,objective,lookahead,model_name,acquisition_function
1,0,0,1,9,0,-0.0015855,-1,Initial_Sample,Random_Sampling
1,1,1,10,0,10,-0.000668,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,0,1,10,0,10,-0.0012665,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,0,1,1,0,2,-0.0011875,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
0,0,1,10,0,10,-0.0012665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
0,0,1,0,0,0,-0.001346,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),pi
0,1,1,10,0,10,-0.0012515,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",pi
0,1,1,9,10,5,-0.0012095,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),pi
0,1,0,10,0,10,-0.0012545,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",pi
1,1,1,10,0,10,-0.000668,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ucb
0,1,1,10,0,10,-0.0012515,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ucb
1,0,1,9,10,2,-0.0015635,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ucb
1,1,0,10,0,10,-0.0015665,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ucb
0,1,0,1,9,10,-0.0012785,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
0,1,1,0,10,10,-0.001259,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,1,0,6,10,6,-0.001337,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,1,1,1,10,10,-0.000681,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,0,1,1,9,5,-0.0021135,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
1,1,1,10,10,10,-0.0005755,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,0,1,10,0,1,-0.002035,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,1,1,9,7,-0.0007949999999999,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,1,0,0,10,-0.0006305,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,1,0,10,0,0,-0.0013135,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,0,1,0,0,10,-0.001222,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,0,1,0,0,10,-0.0012385,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,1,0,0,10,-0.0006305,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,1,4,5,9,-0.0005575,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,1,4,5,10,-0.0005985,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
0,1,1,0,10,10,-0.001259,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
1,1,0,0,0,0,-0.0016815,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
